LfNr,Nachname,Vorname,Geschlecht,PLZ,Ort,Strasse,Hausnummer
1306,Schatz,Holger,M,25712,Kuden,Am Courtenbachshof,34
1307,Steffen,Michaela,W,29393,Groß Oesingen,Ardennenstraße,172
1308,Stratmann,Leif,M,86865,Markt Wald,Schoellerstraße,153
1309,Bahr,Marlies,W,25776,Rehm-Flehde-Bargen,Dornheckweg,71
1310,Kolb,Ina,W,56281,Emmelshausen,Bismarckstraße,187
1311,Krüger,Rainer,M,49453,Dickel,Draemannsmühle,88
1312,Horst,Ulrich,M,14473,Potsdam,Schüllsmühle,112
1313,Schade,Sönke,M,59071,Hamm,Talbenden,49
1314,Heilmann,Brigitta,W,24850,Schuby,Victor-Gollancz-Straße,62
1315,Hillebrand,Lydia,W,7924,Schöndorf,Im Kleffert,48
1316,Heß,Jessica,W,58540,Meinerzhagen,Schulstraße,105
1317,Wirth,Gregor,M,67482,Böbingen,Am Fuchsberg,57
1318,Klatt,Michelle,W,53881,Euskirchen,Angelastraße,183
1319,Eilers,Linda,W,65582,Hambach,Eberhard-Hoesch-Straße,50
1320,Kramer,Hannelore,W,79837,Häusern,Ernst-Ohst-Straße,178
1321,Lenz,Gerd,M,24217,Stakendorf,Kommgartenweg,144
1322,Prinz,Christiane,W,91346,Wiesenttal,Wüstweilerstraße,185
1323,Adam,Regina,W,3103,Neupetershain,Viandener Straße,76
1324,Grimm,Annabelle,W,66909,Matzenbach,Kirchstraße,25
1325,Petermann,Martin,M,46147,Oberhausen,Eifelplatz,38
1326,Budde,Erika,W,77791,Berghaupten,Laubenweg,96
1327,Raab,Nora,W,65558,Balduinstein,Tulpenstraße,4
1328,Trapp,Aylin,W,34327,Körle,Hegelweg,68
1329,Muth,Raphael,M,15517,Fürstenwalde/Spree,Friedrichplatz,145
1330,Knauer,Monique,W,38165,Lehre,Miesheimer Weg,7
1331,Körner,Pascal,M,39359,Flechtingen,Brigidastraße,24
1332,Opitz,Igor,M,72574,Bad Urach,Salierweg,69
1333,Borchert,Esther,W,18276,Lüssow,An der Gerstenmühle,168
1334,Buschmann,Esther,W,42349,Wuppertal,Stefan-Zweig-Straße,58
1335,Petersen,Philipp,M,49201,Dissen,Darßer Weg,188
1336,Engler,Regina,W,31812,Bad Pyrmont,Leopoldstraße,185
1337,Reichardt,Isabel,W,86381,Krumbach (Schwaben),Trierbachweg,80
1338,Thomsen,John,M,55270,Schwabenheim an der Selz,Andreas-Kufferath-Platz,168
1339,Schott,Heiko,M,29664,Walsrode,Laubenweg,40
1340,Hiller,Thilo,M,7919,Pausa-Mühltroff,Fuggerstraße,185
1341,Preuß,Torben,M,35117,Münchhausen,Im Altwerk,15
1342,Benz,Jana,W,16269,Bliesdorf,Zollhausplatz,130
1343,Hartung,Finn,M,71739,Oberriexingen,Heinrich-Heine-Straße,176
1344,Schulze,Axel,M,54668,Schankweiler,Schneidhausener Weg,182
1345,Yilmaz,Henrik,M,50169,Kerpen,Am Jesuitenhof,185
1346,Uhl,Carla,W,39326,Hohe Börde,Karlstraße,11
1347,Lohse,Isabella,W,24994,Medelby,Bergheimer Straße,164
1348,Ruppert,Michael,M,54597,Wallersheim,Kröngensgasse,30
1349,Claus,Hakan,M,17219,Penzlin,Violengasse,29
1350,Schönfeld,Wolf,M,30539,Hannover,Zehnthofstraße,100
1351,Brunner,Janina,W,63065,Offenbach am Main,Roonstraße,109
1352,Pohl,Friedhelm,M,94379,Sankt Englmar,An der Garnbleiche,95
1353,Faber,Rüdiger,M,73579,Schechingen,Duffesbach,148
1354,Schnell,Galina,W,26160,Bad Zwischenahn,Odenthalstraße,127
1355,Frenzel,Esther,W,67822,Finkenbach-Gersweiler,Hohenzollernstraße,174
1356,Vogt,Bruno,M,4451,Borsdorf,Angelastraße,151
1357,Glaser,Rudolf,M,31191,Algermissen,In der Mulde,114
1358,Heitmann,Tim,M,76698,Ubstadt-Weiher,Tannenbergstraße,14
1359,Weber,Gerrit,M,22049,Hamburg,Tannenweg,93
1360,Wille,Arnd,M,54426,Gräfendhron,Schopenhauerweg,54
1361,Dittmann,Manuela,W,19230,Belsch,Ratsstraße,196
1362,Brendel,Ramona,W,21521,Reinbek,Weberstraße,112
1363,Hempel,Denise,W,17237,Carpin,Oststraße,100
1364,Heide,Martha,W,84323,Massing,Waldstraße,124
1365,Siebert,Jan,M,27472,Cuxhaven,Viktoriastraße,199
1366,Schmid,Finn,M,63619,Bad Orb,Schlicher Straße,131
1367,Sander,Miriam,W,54552,Utzerath,Dr.-Overhues-Allee,14
1368,Eckardt,Angela,W,54649,Oberpierscheid,Zu den Gärten,189
1369,Zimmermann,Mareike,W,88138,Hergensweiler,Briandstraße,140
1370,Veit,Natascha,W,84155,Bodenkirchen,St.-Matthias-Straße,138
1371,Pfister,Detlef,M,54472,Burgen,Hahnenkamp,127
1372,Schweitzer,Kurt,M,40629,Düsseldorf,Auf der Roer,27
1373,Steffens,Joachim,M,8112,Wilkau-Haßlau,Eiswiese,152
1374,Heck,Dietmar,M,18276,Plaaz,Kämergasse,93
1375,Lange,Petra,W,55599,Stein-Bockenheim,Antoniusstraße,114
1376,Neu,Hüseyin,M,38170,Vahlberg,Arndtstraße,164
1377,Kroll,Svea,W,54636,Seffern,Lilienstraße,33
1378,Kemper,Olaf,M,12689,Berlin,Werderstraße,170
1379,Wiegand,Inge,W,10409,Berlin,Keplerstraße,193
1380,Zahn,Chantal,W,97842,Karbach,Buchenstraße,111
1381,Heckmann,Nikolas,M,66629,Freisen,Eibenweg,108
1382,Grabowski,Martha,W,39179,Barleben,Edmund-Kurtz-Straße,11
1383,Mayer,Andi,M,23883,Hollenbek,Bleiberg,173
1384,Drews,Martha,W,88630,Pfullendorf,Freiheitsplatz,9
1385,Schweiger,Hartmut,M,90427,Nürnberg,Wachtelweg,15
1386,Berndt,Deniz,M,15374,Müncheberg,Grüner Weg,147
1387,Heinrich,Annabelle,W,21227,Bendestorf,Hallmannsstraße,21
1388,Gabriel,Ben,M,97702,Münnerstadt,Franzstraße,15
1389,Naumann,Katrin,W,59192,Bergkamen,Girbelsrather Straße,180
1390,Fritsche,Barbara,W,74924,Neckarbischofsheim,An der Kuhbrücke,130
1391,Mende,Fred,M,60549,Frankfurt am Main,Mozenborner Straße,60
1392,Schroeder,Igor,M,95152,Selbitz,Hans-Holbein-Straße,6
1393,Wirth,Doreen,W,7973,Greiz,An der Wasserburg,150
1394,Welsch,Steffen,M,91481,Münchsteinach,Rütger-von-Scheven-Straße,97
1395,Ries,Vincent,M,24398,Karby,Uferstraße,178
1396,Helbig,Franziska,W,30419,Hannover,Düppelstraße,182
1397,Schweiger,Carmen,W,25335,Elmshorn,Bismarckstraße,186
1398,Schaper,Annett,W,54655,Zendscheid,Hans-Brückmann-Straße,113
1399,Schenk,Peter,M,57250,Netphen,Bongard,140
1400,Buschmann,Boris,M,49757,Werlte,Bahnstraße,128
1401,Scholl,Ludmila,W,97080,Würzburg,Blochfeld,197
1402,Neugebauer,Jürgen,M,97794,Rieneck,Annakirmesplatz,158
1403,Bürger,Axel,M,19209,Perlin,Körnerstraße,66
1404,Hampel,Holger,M,49762,Renkenberge,Ulmenstraße,79
1405,Richter,Wilhelm,M,91166,Georgensgmünd,Arnold-Decker-Platz,182
1406,Walther,Willi,M,97727,Fuchsstadt,Küppersgasse,74
1407,Mahler,Henrik,M,1936,Laußnitz,Bergheimer Straße,8
1408,Weise,Hella,W,88481,Balzheim,Brigidastraße,36
1409,Kahl,Bruno,M,4720,Zschaitz-Ottewig,Constanze-Königsfeld-Weg,2
1410,Hinrichs,Stefanie,W,29358,Eicklingen,In der Mühlenau,54
1411,Heider,Richard,M,23968,Barnekow,Hermann-Hesse-Straße,137
1412,Kaya,Jean,M,96253,Untersiemau,Engengraben,35
1413,Lauterbach,Doreen,W,1994,Schipkau,In Bethanien,6
1414,Jacobi,Gerhard,M,18239,Satow,Pimmenicher Weg,50
1415,Stenzel,Helga,W,66871,Selchenbach,Gerichtsweg,185
1416,Heider,Edith,W,37434,Rhumspringe,Hubert-Gasper-Straße,194
1417,Post,Waltraud,W,73491,Neuler,Zur Kesselkaul,71
1418,Nickel,Helge,M,91460,Baudenbach,Neue Jülicher Straße,145
1419,Köster,Jennifer,W,95496,Glashütten,Günther-Peill-Straße,66
1420,Ziegler,Berthold,M,15834,Rangsdorf,Kömpchen,120
1421,Thieme,Manfred,M,97519,Riedbach,Waisenhausstraße,153
1422,Auer,Marina,W,68159,Mannheim,Dr.-Kotthaus-Straße,124
1423,Volk,Birte,W,24977,Grundhof,Birkesdorfer Straße,82
1424,Lüdtke,Jessica,W,79877,Friedenweiler,Markusstraße,123
1425,Boldt,Nadine,W,66909,Quirnbach/Pfalz,Martinusplatz,73
1426,Fricke,Silke,W,38312,Flöthe,Marienstraße,138
1427,Grunwald,Steffi,W,86633,Neuburg an der Donau,Mozartweg,51
1428,Popp,Malgorzata,W,72461,Albstadt,Am Knozwinkel,170
1429,Post,Dirk,M,27327,Schwarme,Distelrather Straße,60
1430,Petersen,Mona,W,72622,Nürtingen,Derigsweg,68
1431,Wörner,Adrian,M,85598,Vaterstetten,Steinbißstraße,45
1432,Wiegand,Ulrike,W,93489,Schorndorf,An der Schießruthe,113
1433,Betz,Claudia,W,81739,München,Am Getzer Acker,6
1434,Jordan,Henrik,M,84571,Reischach,Lessingstraße,13
1435,Steiner,Marlene,W,21629,Neu Wulmstorf,Victor-Gollancz-Straße,82
1436,Kempf,Michaela,W,33098,Paderborn,Dr.-Overhues-Allee,9
1437,Straub,Sebastian,M,54673,Krautscheid,Am Maibusch,110
1438,Ehrhardt,Mandy,W,24250,Warnau,Kölner Landstraße,113
1439,Gabriel,Norman,M,94234,Viechtach,Falkenweg,56
1440,Ruf,Heino,M,37339,Brehme,Arnold-Decker-Platz,89
1441,Welsch,Bärbel,W,49393,Lohne,Ringstraße,43
1442,Förster,Inge,W,25782,Schrum,Kaiserplatz,61
1443,Rogge,Britta,W,57632,Giershausen,Am Steinberg,136
1444,Otto,Jonas,M,18276,Reimershagen,Wilhelm-Wester-Weg,94
1445,Hardt,Vincent,M,1328,Dresden,Königsberger Straße,58
1446,Dorn,Helga,W,73235,Weilheim an der Teck,Neue Aue,112
1447,Hein,Steven,M,96126,Ermershausen,Hauptstraße,172
1448,Decker,Henrike,W,35690,Dillenburg,Olefstraße,192
1449,Steinert,Enrico,M,27283,Verden (Aller),Johanniterstraße,83
1450,Reiter,Daniel,M,54558,Winkel (Eifel),Im Spich,126
1451,Post,Arne,M,25551,Peissen,Gutenbergstraße,138
1452,Gehrke,Ronald,M,23948,Klütz,Wechselsaat,170
1453,Stange,Anna,W,34131,Kassel,Graf-Schellart-Platz,54
1454,Niemann,Iris,W,17429,Heringsdorf,Kastanienweg,43
1455,Wegener,Pierre,M,99441,Frankendorf,Schlichbachstraße,87
1456,John,Thomas,M,29389,Bad Bodenteich,In den Benden,12
1457,Stadler,Rosemarie,W,25554,Bekdorf,Stefan-Schwer-Straße,102
1458,Geier,Margit,W,74354,Besigheim,Hahnenkamp,18
1459,Henke,Siegfried,M,18569,Neuenkirchen,An Gut Boisdorf,168
1460,Wille,Manfred,M,83737,Irschenberg,Katharinenstraße,82
1461,Frey,Alexandra,W,82285,Hattenhofen,Trift,191
1462,Förster,Johann,M,69115,Heidelberg,Platanenhof,172
1463,Schröer,Uwe,M,23898,Klinkrade,Neukirchener Straße,57
1464,Bergmann,Stanislav,M,37589,Kalefeld,Heinrich-Gossen-Straße,107
1465,Rieger,Pascal,M,99955,Urleben,Wiesenstraße,175
1466,Dürr,Annegret,W,64342,Seeheim-Jugenheim,Hinter Pastorsgarten,100
1467,Keck,Georgios,M,6773,Gräfenhainichen,Schloßbergstraße,102
1468,Baur,Hasan,M,18195,Selpin,Winand-Dammers-Straße,87
1469,Veit,Lara,W,54636,Mülbach,Zeppelinstraße,143
1470,Hübner,Ernst,M,32791,Lage,Im Altwerk,38
1471,Schiller,Joachim,M,84577,Tüßling,Schwarzer Weg,199
1472,Kaiser,Bernd,M,92436,Bruck i.d.OPf.,Thomas-Mann-Straße,107
1473,Buchholz,Gitta,W,38170,Uehrde,Valencienner Straße,192
1474,Rudolph,Susan,W,27243,Winkelsett,Am Bilderstock,138
1475,Wilhelm,Fred,M,99638,Kindelbrück,Mühlenweg,69
1476,Rupprecht,Gunda,W,25581,Poyenberg,Bahnstraße,108
1477,Hübner,Kimberly,W,15326,Lebus,August-Bebel-Straße,103
1478,Jordan,Fatma,W,36320,Kirtorf,Birkenalle,45
1479,Wagner,Raimund,M,96199,Zapfendorf,Kölnstraße,101
1480,Erdmann,Martina,W,1587,Riesa,Daubenvaldersweg,111
1481,Kurz,Natalia,W,56281,Emmelshausen,Breitenbend,46
1482,Kaya,Diana,W,55568,Abtweiler,Schwarzenbroichstraße,73
1483,Theis,Irene,W,2953,Bad Muskau - Mužakow,Briandstraße,175
1484,Frisch,Hatice,W,7768,Schöps,Matthias-Claudius-Straße,113
1485,Ahler,Angelina,W,86692,Münster,Moselstraße,169
1486,Ulbrich,Kirstin,W,69234,Dielheim,Senefelderstraße,5
1487,Jaeger,Alfred,M,42117,Wuppertal,Mozenborner Straße,83
1488,Meister,Ilka,W,49849,Wilsum,Katharinenstraße,105
1489,Hill,Imke,W,90530,Wendelstein,Gillesweg,5
1490,Müller,Magdalena,W,57647,Nistertal,Schweringstraße,7
1491,Ebel,Gunda,W,6268,Obhausen,Wolffsgasse,116
1492,Hack,Carina,W,34311,Naumburg,Professor-Hahn-Straße,185
1493,Nagel,Galina,W,26524,Berumbur,Im Eschfeld,96
1494,Adam,Aylin,W,10407,Berlin,Alte Jülicher Straße,194
1495,Ewert,Arnd,M,57632,Giershausen,Felix-Wankel-Straße,32
1496,Paulus,Sarah,W,76327,Pfinztal,Raiffeisenstraße,153
1497,Steinmetz,Richard,M,49424,Goldenstedt,Bachstraße,179
1498,Stern,Georgios,M,54426,Talling,Stresemannstraße,71
1499,Schaub,Wladimir,M,25560,Kaisborstel,Seestraße,80
1500,May,Marleen,W,78253,Eigeltingen,Gerichtsweg,109
1501,Böhmer,Martina,W,14195,Berlin,Ellener Straße,177
1502,Schiller,Gunda,W,97834,Birkenfeld,Grube-Alfred-Straße,14
1503,Glaser,Evelyn,W,70599,Stuttgart,Annakirmesplatz,68
1504,Rühl,Riko,M,15910,Unterspreewald,Schlicher Straße,122
1505,Gehrmann,Karlheinz,M,24976,Handewitt,Nickepütz,179
1506,Giese,Yasemin,W,22525,Hamburg,Wittlicher Straße,2
1507,Wilke,Stefanie,W,23970,Wismar,Fliederbusch,168
1508,Frank,Christine,W,19069,Lübstorf,Amselweg,163
1509,Frick,Ann,W,57635,Rettersen,Am Pletzerturm,41
1510,Kühn,Esther,W,97295,Waldbrunn,Fritz-Keller-Weg,68
1511,Friedl,Jan,M,22929,Hamfelde,Fehlender Feld,116
1512,Teichmann,Ole,M,6785,Oranienbaum-Wörlitz,Merianstraße,149
1513,Dürr,Roger,M,79853,Lenzkirch,Sittergraben,49
1514,Bucher,Arne,M,94428,Eichendorf,Auf der Roer,3
1515,Ahrens,Birgit,W,87497,Wertach,Olefstraße,159
1516,Köhler,Ramona,W,4758,Cavertitz,Fritz-Pley-Straße,92
1517,Schöne,Jannis,M,88097,Eriskirch,Arnoldsweilerweg,71
1518,Apel,Jenny,W,66903,Gries,Heinrich-Hansen-Straße,164
1519,Rupprecht,Uwe,M,76889,Niederotterbach,Altenteich,33
1520,Werner,Roger,M,54316,Lampaden,Kiefernweg,16
1521,Reitz,Irina,W,40670,Meerbusch,Karlstraße,47
1522,Stern,Ulrich,M,82269,Geltendorf,Pfalzstraße,144
1523,Ewald,Ernst,M,72124,Pliezhausen,Philippstraße,111
1524,Brinkmann,Johannes,M,66346,Püttlingen,Veldener Straße,49
1525,Greiner,Ursula,W,38364,Schöningen,Königsberger Straße,50
1526,Gottwald,Mirco,M,99996,Menteroda,An der Gerstenmühle,79
1527,Brockmann,Dennis,M,94505,Bernried,Dr.-Robert-Pütz-Straße,10
1528,Dreyer,Riko,M,40599,Düsseldorf,Merkener Weg,160
1529,Engels,Barbara,W,18246,Zepelin,Arnoldsweilerstraße,90
1530,Reimer,Sophia,W,10249,Berlin,Chlodwigplatz,34
1531,Nitsche,Ronny,M,94368,Perkam,Wachtelweg,147
1532,Lotz,Beate,W,7646,Eineborn,Rathenaustraße,122
1533,Vetter,Margarethe,W,53424,Remagen,Goethestraße,77
1534,Baur,Sibylle,W,73433,Aalen,Eifelplatz,49
1535,Frick,Roland,M,6268,Obhausen,Friedhofstraße,6
1536,Schrader,Kim,W,59379,Selm,Wenzel-Hollar-Straße,89
1537,Ernst,Melissa,W,7613,Crossen an der Elster,Constanze-Königsfeld-Weg,122
1538,Wilhelm,Guido,M,83135,Schechen,Am Römerbad,154
1539,Hentschel,Anne,W,92542,Dieterskirchen,Clemensstraße,198
1540,Rabe,Richard,M,54455,Serrig,Nibelungenweg,185
1541,Grünewald,Melanie,W,54616,Winterspelt,Eschstraße,113
1542,Welsch,Alexandra,W,99310,Witzleben,Küppersgasse,171
1543,Hirsch,Kerstin,W,15345,Petershagen/Eggersdorf,Teichstraße,78
1544,Kübler,Katharina,W,37130,Gleichen,Uhlandstraße,10
1545,Habermann,Peter,M,24635,Daldorf,Brentanostraße,25
1546,Hamann,Friedrich,M,98617,Sülzfeld,Karl-Arnold-Straße,191
1547,Hausmann,Karin,W,37412,Hörden am Harz,Pimmenicher Weg,108
1548,Jacob,Ernst,M,34593,Knüllwald,Arndtstraße,174
1549,Thiel,Leonie,W,80335,München,Am Sandberg,93
1550,Förster,Gunnar,M,56736,Kottenheim,Peter-Beier-Platz,162
1551,Seibel,Henrik,M,54587,Birgel,Viktoriastraße,67
1552,Sauter,Ahmed,M,35768,Siegbach,Nideggener Straße,79
1553,Amann,Norman,M,7957,Langenwetzendorf,Kleiststraße,34
1554,Kröger,Rüdiger,M,79189,Bad Krozingen,Lommessemstraße,135
1555,Schauer,Ricarda,W,94145,Haidmühle,Konzendorfer Straße,99
1556,Brendel,Hella,W,76703,Kraichtal,Holzstraße,147
1557,Kratz,Josefine,W,69436,Schönbrunn,Engengraben,63
1558,Nitschke,Marcel,M,14662,Wiesenaue,Kirchplatz,18
1559,Neubert,Uta,W,14822,Brück,Am Rurufer,23
1560,Berner,Armin,M,91804,Mörnsheim,Birgeler Straße,58
1561,Renz,Mareike,W,30989,Gehrden,Damaschkestraße,191
1562,Fricke,Christin,W,59425,Unna,Kömpchen,22
1563,Höhn,Gesa,W,78664,Eschbronn,Dornheckweg,112
1564,Hofmann,Dietrich,M,17375,Liepgarten,Peterstraße,35
1565,Geier,Rolf,M,8301,Aue-Bad Schlema,Andreas-Kufferath-Platz,57
1566,Hennig,Monika,W,38100,Braunschweig,Blumenthalstraße,108
1567,Westermann,Paul,M,22967,Tremsbüttel,An der Apfelwiese,64
1568,Hoch,Christina,W,65558,Kaltenholzhausen,Zum Bruch,31
1569,Boldt,Nicole,W,96358,Teuschnitz,Schlicher Straße,32
1570,Pohlmann,Inga,W,78239,Rielasingen-Worblingen,Kleiststraße,6
1571,Döring,Kira,W,17209,Priborn,Eburonenweg,86
1572,Hinz,Christiane,W,92712,Pirk,Flemingstraße,108
1573,Jansen,Saskia,W,36154,Hosenfeld,Zu den Blanken,27
1574,Behrens,Alice,W,18586,Göhren,Liststraße,153
1575,Huber,Sabrina,W,53505,Kalenborn,In der Mulde,171
1576,Böhmer,Georgios,M,60388,Frankfurt am Main,Auf der Kall,25
1577,Reichert,Heidrun,W,12353,Berlin,Kaiserplatz,199
1578,Kern,Kimberly,W,4916,Herzberg (Elster),Am Getzer Acker,106
1579,Grau,Stanislav,M,18209,Reddelich,Binsfelder Straße,38
1580,Schürmann,Chantal,W,18347,Ahrenshoop,Ernst-Reuter-Straße,21
1581,Wörner,Kathleen,W,56759,Kaisersesch,Im Lintes,125
1582,Frank,Imke,W,16259,Neulewin,Platanenhof,50
1583,Kemper,Martin,M,97900,Külsheim,Franziskanerstraße,41
1584,Schütte,Henrike,W,86747,Maihingen,Meiringstraße,40
1585,Winter,Aaron,M,87752,Holzgünz,Echtzer Straße,158
1586,Heck,Said,M,21039,Börnsen,Constanze-Königsfeld-Weg,114
1587,Merkel,Eugen,M,17089,Werder,Laute-Dei-Straße,113
1588,Mangold,Rosemarie,W,91236,Alfeld,An der Gerstenmühle,118
1589,Herz,Sibylle,W,94522,Wallersdorf,Rütger-von-Scheven-Straße,47
1590,Seibert,Sonja,W,71272,Renningen,Laverweg,143
1591,Ziegler,Lydia,W,41460,Neuss,Rheinstraße,26
1592,Heinemann,Katja,W,45478,Mülheim an der Ruhr,Blumenthalstraße,60
1593,Junge,Vladimir,M,57074,Siegen,Am Maibusch,177
1594,Knorr,Annett,W,57580,Elben,Ricarda-Huch-Straße,177
1595,Rauscher,Axel,M,24161,Altenholz,Albrecht-Dürer-Straße,71
1596,Nagel,Linus,M,49751,Spahnharrenstätte,Markusstraße,92
1597,Auer,Tina,W,1239,Dresden,Bergheimer Straße,33
1598,Franke,Kirsten,W,56457,Westerburg,Albert-Schweitzer-Straße,169
1599,Ruppert,Steffi,W,7389,Knau,Einsteinstraße,74
1600,Hübner,Darius,M,92275,Hirschbach,Ardennenstraße,35
1601,Wessel,Martina,W,51063,Köln,Ahornstraße,16
1602,Thiel,Monique,W,49681,Garrel,Fritz-Pley-Straße,104
1603,Frey,Johanna,W,74420,Oberrot,Ahornstraße,66
1604,Freund,Nancy,W,12459,Berlin,Keplerstraße,162
1605,Körner,Angela,W,34576,Homberg,Kufferather Platz,127
1606,Schnell,Leonie,W,67822,Sankt Alban,Sophie-Scholl-Straße,41
1607,Petermann,Maurice,M,26904,Börger,Auf der Komm,110
1608,Heitmann,Ole,M,72076,Tübingen,Eintrachtstraße,29
1609,Kowalski,Claas,M,23627,Groß Grönau,An Gut Boisdorf,150
1610,Walther,Jule,W,24253,Passade,Stefan-Zweig-Straße,26
1611,Petersen,Berthold,M,25862,Joldelund,Daubenvaldersweg,24
1612,Thieme,Marcel,M,24616,Armstedt,Waisenhausstraße,176
1613,Resch,Esther,W,18574,Poseritz,Kreuzherrenstraße,103
1614,Ritter,Linda,W,56814,Bruttig-Fankel,Dornheckweg,124
1615,Schwarz,Ayse,W,25693,Volsemenhusen,Edmund-Kurtz-Straße,51
1616,Fritsch,Mike,M,45699,Herten,Im Eichenbruch,109
1617,Rauch,Hendrik,M,24806,Hohn,Chlodwigplatz,43
1618,Otten,Yvonne,W,71083,Herrenberg,Novalisstraße,168
1619,Pfister,Hermann,M,24794,Schacht-Audorf,Girbelsrather Straße,178
1620,Franz,Ismail,M,54675,Sinspelt,Schwarzer Weg,101
1621,Wenzel,Edeltraud,W,24960,Munkbrarup,Hüttenstraße,4
1622,Fritsch,Alexander,M,44369,Dortmund,Wolffsgasse,105
1623,Hauck,Patrick,M,77797,Ohlsbach,Buschbenden,1
1624,Wenzel,Chantal,W,57629,Limbach,Derigsweg,30
1625,John,Lydia,W,37619,Kirchbrak,Cornetzhof,24
1626,Hering,David,M,23968,Wismar,Zum Berzberg,91
1627,Korte,Timo,M,3238,Heideland,Hammerau,126
1628,Heider,Jutta,W,24241,Reesdorf,Matthias-Claudius-Straße,133
1629,Ulbrich,Lilly,W,24816,Brinjahe,Auf dem Driesch,43
1630,Moritz,Susann,W,34298,Helsa,Hermann-Hesse-Straße,43
1631,Krauß,Helmut,M,4651,Bad Lausick,Valencienner Straße,185
1632,Stratmann,Angelika,W,55120,Mainz,Max-Planck-Straße,36
1633,Wehner,Manuela,W,68169,Mannheim,Karlstraße,126
1634,Stange,Gunnar,M,6567,Bad Frankenhausen/Kyffhäuser,Schumannweg,87
1635,Greiner,Franziska,W,55288,Udenheim,Neumann-Neander-Straße,24
1636,Häusler,Nora,W,53520,Insul,Schwarzenbroichstraße,196
1637,Spindler,Antje,W,99718,Niederbösa,An den Stadtwerken,192
1638,Klug,Wilhelm,M,27333,Schweringen,Hohenzollernstraße,140
1639,Hübner,Bernd,M,64839,Münster (Hessen),Vischenichstraße,84
1640,Cramer,Martina,W,25899,Klixbüll,Körnerstraße,92
1641,Scholz,Benedikt,M,40212,Düsseldorf,Küppersgasse,133
1642,Herz,Henrik,M,46446,Emmerich am Rhein,Ludwigstraße,28
1643,Wetzel,Katja,W,79410,Badenweiler,Paulstraße,183
1644,Burkhardt,Antje,W,56761,Hauroth,Beybusch,190
1645,Heidrich,Marlies,W,56459,Berzhahn,Moltkestraße,120
1646,Herrmann,Isabella,W,7907,Görkwitz,Eiswiese,56
1647,Berner,Erik,M,66121,Saarbrücken,Rotdornweg,45
1648,Zeller,Markus,M,24863,Börm,Eldernweg,64
1649,Keller,Raimund,M,32549,Bad Oeynhausen,Zur Lohe,25
1650,Weidner,Paula,W,3238,Sallgast,Rölsdorfer Straße,43
1651,Reichelt,Barbara,W,25376,Krempdorf,Schenkelstraße,43
1652,Falk,Chris,M,17335,Strasburg (Uckermark),Rosenweg,134
1653,Dietz,Ralf,M,54552,Üdersdorf,Saint-Hubert-Straße,177
1654,Baumgärtner,Melissa,W,37647,Polle,Im Eschfeld,118
1655,Eckardt,Daniela,W,54578,Walsdorf,Hegelweg,155
1656,Volkmann,Swetlana,W,85777,Fahrenzhausen,Leonhardsgasse,118
1657,Vogel,Paula,W,73087,Bad Boll,Dr.-Pesch-Straße,71
1658,Reinhardt,Irene,W,93494,Waffenbrunn,Darßer Weg,170
1659,Grün,Frederik,M,6794,Sandersdorf-Brehna,Ahornstraße,72
1660,Karl,Tino,M,86946,Vilgertshofen,Binsfelder Straße,63
1661,Paul,Hildegard,W,55270,Bubenheim,Friedenstraße,102
1662,Rühl,Helmut,M,6502,Thale,Pestalozzistraße,37
1663,Riemer,Ingrid,W,54533,Bettenfeld,Grube-Alfred-Straße,84
1664,Volk,Peer,M,36364,Bad Salzschlirf,Alemannenweg,197
1665,Berndt,Helga,W,49846,Hoogstede,Lauscherstraße,20
1666,Konrad,Stanislav,M,6749,Bitterfeld-Wolfen,Johann-Bergs-Straße,51
1667,Hohmann,Sofie,W,45276,Essen,Trierer Straße,13
1668,Kruse,Pia,W,24616,Sarlhusen,Engengraben,84
1669,Witt,Samuel,M,29348,Eschede,Danziger Straße,62
1670,Daniel,Barbara,W,89564,Nattheim,Elsdorfer Straße,103
1671,Börner,Anja,W,56204,Hillscheid,Wilhelm-Wester-Weg,170
1672,Seeger,Cornelius,M,25727,Frestedt,Laufenburgstraße,26
1673,Zahn,Yasemin,W,67278,Bockenheim an der Weinstraße,Lasallestraße,101
1674,Hamann,Ibrahim,M,16835,Vielitzsee,Bahnstraße,44
1675,Kummer,Susan,W,25764,Wesselburenerkoog,Monschauer Landstraße,104
1676,Lüdtke,Victoria,W,15328,Reitwein,Sievernicher Straße,145
1677,Sprenger,Nele,W,37318,Steinheuterode,Vilvenicher Weg,151
1678,Krauß,Eduard,M,67678,Mehlingen,An St. Johannes,34
1679,Kohl,Waltraud,W,21033,Hamburg,Violengasse,22
1680,Gerber,Fabio,M,17429,Mellenthin,Konzendorfer Straße,168
1681,Springer,Iris,W,8223,Werda,Friedrichstraße,58
1682,Maaß,Swetlana,W,56825,Schmitt,Wachtelweg,22
1683,Gebhardt,Martin,M,38524,Sassenburg,Schillerstraße,6
1684,Groth,Nikola,M,71263,Weil der Stadt,Meroder Straße,26
1685,Held,Mona,W,49838,Wettrup,Am Pletzerturm,68
1686,Eilers,Marie,W,44227,Dortmund,Rheinstraße,188
1687,Kraus,Julien,M,54441,Taben-Rodt,Mozartweg,38
1688,Schade,Frederik,M,57334,Bad Laasphe,An der Ziegelei,176
1689,Kellermann,Friedrich,M,97270,Kist,Nikolaus-Otto-Straße,50
